DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",Medium,Growth Factors,Initial Culture (text),MoA chem 1; MoA chem 2,TFs/miRNA,Title,Assocoated Data,Yield (%),Comment on Yield,Type,Comment,"Authors;sorted=""Reverse"";sep=;",Stress factors
10.1038/nmeth.2999,Homo sapiens,Induced Pluripotent Stem Cells,Induced Cardiomyocytes,20,"CHIR99021,9956119;BIO,448949;Dexamethasone,5743","DMEM GlutaMAX 10% FBS, 1:200 dilution of growth factor–reduced Matrigel 9 μg/cm2; E8 medium (50:50 mixture of DMEM and Ham's F12 medium), 20 μg/ml Escherichia coli–derived recombinant human insulin, 64 μg/ml L-2-phospho-L-ascorbic acid 2-phosphate sesquimagnesium salt hydrate, 10.7 μg/ml O. sativa–derived recombinant human transferrin, 14 ng/ml sodium selenite, 100 ng/ml recombinant human FGF2, 2 ng/ml recombinant human TGFβ1, 100 nM hydrocortizone, 200 μM sodium butyrate; E7N (E8 minus TGFβ1; 200 μM sodium butyrate); blood medium: IMDM:F12, 2 mg/ml recombinant human albumin, 1% v/v chemically defined lipid concentrate, 10 μg/ml recombinant human insulin, 100 μg/ml recombinant human transferrin, 15 ng/ml sodium selenite, 64 μg/ml L-2-phospho-L-ascorbic acid 2-phosphate, 450 μM 1-thioglycerol, 50 ng/ml SCF, 10 ng/ml IL3, 2 U/ml EPO, 40 ng/ml IGF1 (Peprotech) and 1 μM dexamethasone; CDM3 medium: RPMI 1640 medium, 500 μg/ml O. sativa–derived recombinant human albumin, 75 mg/ml stock solution in water for injection (WFI) quality H2O, stored at −20 °C, 213 μg/ml L-2-phospho-L-ascorbic acid 2-phosphate, 2 μM Wnt-C59",FGF2; TGFβ1; IGF1,"two 2-mm skin punch biopsies were taken from each volunteer, diced with a scalpel",Inhibitor of GSK3β;Inhibitor of GSK3,_,Chemically Defined and Small Molecule-Based Generation of Human Cardiomyocytes,_,95,flow cytometry for TNNT2,1,_,Joseph C Wu; Joseph D Gold; Bianxiao Cui; Oscar J Abilez; Jordan R Plews; Nicholas M Mordwinkin; Bruno Huber; Sebastian Diecke; Feng Lan; Antje D Ebert; Jared M Churko; Ziliang C Lin; Praveen Shukla; Elena Matsa;Paul W Burridge,_
10.1016/j.stem.2010.11.015,Homo sapiens,Keratinocytes,Induced Pluripotent Stem Cells,28,"PS48,44141940",,,human epidermal keratinocytes (NHEKs),Activator of the PDK1,4-Oct,Reprogramming of Human Primary Somatic Cells by Oct4 and Chemical Compounds,_,-,_,2,_,Sheng Ding; Kang Zhang; Janghwan Kim; Tongxiang Lin; Rajesh Ambasudhan; Wanguo Wei; Hongyan Zhou; Wenlin Li;Saiyong Zhu,_
10.1111/j.1432-0436.2008.00284.x,Homo sapiens,Embryonic Stem Cells,Induced Cardiomyocytes,20,"SB203580,176155;Prostaglandin I2,5282411","KO-DMEM, 20% Knockoutt serum replacement (KO-SR), 1 NAA, 2mM L-glutamine, bFGF (10 ng/ml) on human fibroblasts (CCD-919Sk). Fibroblasts were cultured in DMEM, 20% FBS, 2mM L-glutamine, and 1 ITS (insulin-tranferrinselenium) to confluence, treated with mitomycin C (10 mg/ml)",IGF-1;IR-b,hESC lines HES2 and HES3-GFP from ES Cell International at passages 75–125 and NL-HES1 and 2 at passages 25–45,"Inhibitor of the MAP kinase;Activator of prostaglandin receptors EP1, EP3 and EP4",_,Chemically defined medium supporting cardiomyocyte differentiation of human embryonic stem cells.,_,9,Cytospin analysis and immunocytochemistry was conducted using cardiac a-MHC-specific staining,1,_,Bruce P.Davidson; Robert Zweigerdt; AlanColman; ChristineMummery; JenniferMoore; ChristianFreund; Su ChinTham; ShirlySieh; Siti NorfizaBte Rahmat; ThavamalarBalakrishnan; Set YenSoo; RalphGraichen;Xiu QinXu,_
10.1038/cr.2014.32,Mus musculus; Homo sapiens ,Fibroblasts,Induced Neural Progenitor Cells,20,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054","DMEM 10% FBS, 1 mM GlutaMAX, 0.1 mM non-essential amino acid; neural expansion medium 30 ng/ml heparin, 20 ng/ml EGF and 20 ng/ml bFGF; KSR medium including knockout DMEM, 15% knockout serum replacement, 1% NEAA, 1% GlutaMax, 1% sodium pyruvate, 0.1 mM β-mercaptoethanol, 1 000 U/ml leukemia inhibitory factor; mTeSR medium; N2B27 medium DMEM:F12, 1% N2, 2% B27, BMP4 50 ng/ml,1% FBS; neural differentiation medium neural basal medium, 2% B27, 1% N2, 10 ng/ml BDNF, 10 ng/ml GDNF, 10 ng/ml IGF-1, 1 μM cAMP, 200 μM 2-phospho-L-ascorbic acid",EGF; bFGF; BDNF; GDNF; IGF,MEFs were isolated from E13.5 mouse embryos; TTFs were isolated from C57BL/6 neonate on day 3,Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor),_,Generation of neural progenitor cells by chemical cocktails and hypoxia.,_,25,morphological characteristics of oligodendrocytes ,1,_,Gang Pei; Wuzhou Yang; Min Wang; Wuqiang Guan; Yongchun Yu; Jian Zhao; Binlong Qiu; Wenxiang Hu;Lin Cheng,_
10.1155/2016/4304916,Mus musculus,Fibroblasts,Induced Neural Stem Cells,42,"Valproic Acid,3121;BIX01294,25150857;RG108,702558;PD0325901,9826528;CHIR99021,9956119;Vitamin C,54670067;A83-01,16218924","DMEM 10% FBS, 50 units/mL penicillin, 50 μg/mL streptomycin; Stem cell culture medium 15% FBS, 1% nonessential amino acids, 1% L-glutamine, 50 units/mL penicillin, 50 μg/mL streptomycin, 0.1 mM β-mercaptoethanol, 1,000 units mL−1 leukaemia inhibitory factor (LIF) small molecules (Valproic Acid, 1 μM; BIX01294, 1 μM; RG108, 0.04 μM; PD0325901, 1 μM; CHIR99021, 3 μM; Vitamin C, 25 μM; A83-01, 2.5 μM; neural stem cell medium DMEM/F12 with B-27, 50 units/mL penicillin, 50 μg/mL streptomycin, 8 mM HEPES buffer, 20 ng/mL EGF, and 10 ng/mL bFGF",20 ng/mL EGF; 10 ng/mL bFGF; 10 ng/mL PDGF-AA,Mouse embryonic fibroblasts (MEF) and tail-tip fibroblasts (TTF) were isolated from C57/BL6 mice,"Inhibitor of histone deacetylase;Inhibitor of the G9a histone methyltransferase;Inhibitor of the DNA methyltransferase;Inhibitor of MEK/ERK pathway;Inhibitor of GSK3β;_;Inhibitor of ALK4,  ALK7 (activin receptor-like kinases);Inhibitor of the RHO/ROCK pathway;Agonist of hedgehog;Inhibitor of histone deacetylase",_,Direct reprogramming of mouse fibroblasts to neural stem cells by small molecules.,_,2,the minimum cell number to form one colony,1,_,Xin-Fu Zhou; Damien J. Keating; Miao Yang; Nimshitha Pavathuparambil Abdul Manaph; Jia Liu; Hua Li;1 Michael D. Duffieldl; Yoon Lim;Yan-Chuang Han,_
10.1016/j.bbrc.2016.05.080,Mus musculus,Fibroblasts,Induced Neural Stem Cells,,"A83-01,16218924;Thiazovivin,46209426;Purmorphamine,5284329;Valproic Acid,3121",,bFGF; EGF;BDNF,mouse embryonic fibroblasts (MEFs),"Inhibitor of ALK4, ALK7 (activin receptor-like kinases);Inhibitor of the RHO/ROCK pathway;Agonist of hedgehog;Inhibitor of histone deacetylase",_,A combination of small molecules directly reprograms mouse fibroblasts into neural stem cells. ,_,60,_,1,_,SeungkwonYou; SungHoi Hong; Jang Bo Lee; Gyuman Park; Byung Sun Yoon; Yoon Sik Kim; Yang In Kim; Insik Hwang; Jai-Hee Moon; Suhyun Kwon; Solji Hyeon; Phil JunKang; Kyung-AhChoibc;JieZhenga,_
10.1016/j.stem.2016.03.020,Mus musculus,Fibroblasts,Induced Neural Stem Cells,25,"CHIR99021,9956119;LDN193189,25195294;A83-01,16218924;RG108,702558;Parnate,5530;SMER28,1560402;Retinoic acid,444795  ","MEF medium(DMEM supplemented with 10% fetal bovine serum, 0.1 mM nonessential amino acids, and 2 mM Glutamax); M9 medium (50% Neural basal, 50% DMEM/F12/Glutamax, 1 3 N2, 1 3 B27 without vitamin A, 0.075% BSA, 0.1 mM nonessential amino acids, with 3 mM CHIR99021, 100 nM LDN193189, 0.5 mM A83-01, 0.5 mM Hh-Ag1.5, 1 mM Retinoic acid, 10 mM SMER28, 10 mM RG108, 2 mM Parnate, and 10 ng/ml bFGF); neural stem cells medium (NSC medium: 50% Neural basal, 50% DMEM/F12/Glutamax, 1 3 N2, 1 3 B27 without vitamin A, 0.075% BSA, 0.1 mM nonessential amino acids, 20 ng/ml bFGF, and 20 ng/ml EGF)",bFGF; EGF,cells from MEFs derived from embryonic day 13.5 (E13.5) mouse embryos of Fsp1-Cre/ROSA26td,"Inhibitor of GSK3β;Inhibitor of TGF-beta/Smad signaling;Inhibitor of ALK4, ALK7 (activin receptor-like kinases);Inhibitor of the DNA methyltransferase;Inhibitor of lysine-specific demethylase 1 (LSD1);Enhancer of the mammalian autophagy;Agonist of a retinoic acid receptor",_,Pharmacological reprogramming of fibroblasts into neural stem cells by signaling-directed transcriptional activation.,_,31,Sox2+/Nestin+ ciNSLCs,1,_,ShengDing; Yadong Huang; Ke Li; Nan Cao; KaiLiu; Jiashun Zheng; Saiyong Zhu;Yujiao Jennifer Sun; Yuan-HungLin;Mingliang Zhang,_
10.1038/s41598-017-10394-y,Homo sapiens,Mesenchymal Stem Cells (Adipose-derived),Induced Neural Stem Cells,25,"SB431542,4521392;LDN193189,25195294 ","NSC induction medium Dulbecco’s modified Eagle’s medium F12 (DMEM/F12) supplement with 3% KOSR, 1% Glutamax, 1% non-essential amino acid  and 4 ng/mL basic fibroblast growth factor (bFGF) with or without three small molecules; 10 μM SB431542, 100 ng/ml noggin and 0.5 μM LDN193289",20 ng/mL epidermal growth factor (EGF); 20 ng/mL bFGF,Adipose tissue was obtained through liposuction from the healthy volunteers (23–26 years old),Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of TGF-beta/Smad signaling,_,Small molecule-based lineage switch of human adipose-derived stem cells into neural stem cells and functional GABAergic neurons,_,85,Flow cytometry analyses the proportion of NCAM-positive,1,_,Mi-Sook Chang; Jun Soo Kwon; Ju Han Kim; C. Justin Lee; Seong Who Kim; Myong-Wuk Chon; Min Soo Byun; Jeonghoon Lee; Min Kyung Kim; Eun Kyung Choe; Jaekwang Lee; Nayeon Lee;Jihye Park,_
10.1016/j.celrep.2016.12.062,Mus musculus,Myoblasts,Induced Brown Adipocytes,8,"Bexarotene,82146 ","basal adipogenesis conditions (850 nM insulin, 1 nM T3, 0.5 mM isobuylmethylxanthine, 125 μM indomethacin, and 5 μM dexamethasone in 10% FBS DMEM); 10% FBS DMEM containing 850 nM insulin and 1 nM T3",bFGF,"C2C12, 3T3-L1, and C3H10T1/2 cells were purchased from the ATCC",Activator of the retinoid X receptors,PRDM16,Brown adipogenic reprogramming induced by a small molecule,_,70,the efficiency of Prdm16 knockdown in pre-brown adipocyte,2,_,ShengDing; Donghai Wu; Aimin Xu; Tao Xu; Yu Zhang; Shibing Tang; Ke Li; Haixia Wang; Jiashun Zheng; RanYuan; Kuai Li; Liufeng Mao; Ping Gu; Xiaoyan Hui; Tao Nie;Baoming Nie,_
10.1038/s41598-017-04665-x,Homo sapiens,Fibroblasts,Induced Brown Adipocytes,28,"SB431542,4521392;LDN193189,25195294;Forskolin,47936;Dorsomorphin,11524144;Rosiglitazone,77999  ","adipocyte medium including rosiglitazone; adipocyte medium in combination with GSK3β inhibitor, CHIR99021 (G), a MEK inhibitor, PD0325901 (M), a TGF-β signalling inhibitor, SB431542 (S), a BMP signalling inhibitor, LDN193189 (L), a P53 inhibitor, Pifithrin-α (P), and a cAMP inducer, Forskolin (F)",TGF-β,"The 3 lines of the human fibroblasts, HDF0, HDF38","Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of TGF-beta/Smad signaling;CAMP agonist;Inhibitor of ALK2, ALK6	 and AMPK;Activator of the peroxisome proliferator-activated receptor gamma",_,"Takeda, Y., Harada, Y., Yoshikawa, T. and Dai, P. (2017) Direct conversion of human fibroblasts to brown adipocytes by small chemical compounds. Sci. Rep. 7, 4304, https://doi.org/10.1038/s41598-017-04665-x",_,100,Oil Red O staining,1,_,P.; T. and Dai; Yoshikawa; Y.; Harada; Y.;Takeda,_
10.1038/cr.2015.99,Mus musculus,Fibroblasts,Induced Cardiomyocytes,25,"CHIR99021,9956119;RepSox,9956119;Forskolin,47936;Valproic Acid,3121;Parnate,5530;TTNPB,5289501","CRM is composed of knockout DMEM, 15% FBS, 5% KSR, 0.5% N2, 2% B27, 1% Glutamax, 1% NEAA, 0.1 mM β-mercaptoethanol, 50 μg/ml 2-phospho-L-ascorbic acid (Vitamin C), 100 units/ml penicillin and 100 μg/ml streptomycin. CRFVPT cocktail consists of 10 μM CHIR99021 (C); 10 μM RepSox (R); 50 μM Forskolin (F); 0.5 mM Valproic Acid (V); 5 μM Parnate, (P); 1 μM TTNPB (T)",Tβ-4 (100 ng/ml); GDF-11 (100 ng/ml); G-CSF (20 ng/ml); NRG1-β1 (100 ng/ml).,MEFs were isolated from embryonic day 13.5 (E13.5) C57BL/6 mouse embryos,Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of histone deacetylase;Inhibitor of lysine-specific demethylase 1 (LSD1);Agonist of a retinoic acid receptor,_,"Fu, Y., Huang, C., Xu, X., Gu, H., Ye, Y., Jiang, C. et al. (2015) Direct reprogramming of mouse fibroblasts into cardiomyocytes with chemical cocktails. Cell Res. 25, 1013–1024, https://doi.org/10.1038/cr.2015.99",_,14.5,α-actinin positive,1,_,X.; Xu; C.; Huang; Y.;Fu,_
10.1038/srep13320,Rattus _,Mesenchymal Stem Cells (Hepatic Stellate Cells),Induced Hepatocytes,21,"Tauroursodeoxycholic acid,9848818","2 μM of different bile acids or by 50 ng/ml human FGF4, 40 ng/ml human HGF dissolved in Iscove’s Modified Dulbecco’s Medium supplemented with 1% insulin-transferrin-sodium selenite, 1% linolic acid-albumin from bovine serum, 1% antibiotic/antimycotic solution",,HSC were isolated from adult Wistar rats (>500 g) and Black 6 mice (>25 g),Bile acid,_,"Sawitza, I., Kordes, C., Götze, S., Herebian, D. and Häussinger, D. (2015) Bile acids induce hepatic differentiation of mesenchymal stem cells. Sci. Rep. 5, 13320, https://doi.org/10.1038/srep13320",_,23,albumin mRNA expression,1,_,Dieter Häussinger; Diran Herebian; Silke Götze; Claus Kordes;Iris Sawitza,_
10.1016/j.celrep.2016.03.071,Mus musculus,Fibroblasts,Induced Hepatocytes,21,"CHIR99021,9956119;A83-01,16218924","DMEM/F-12 10% fetal bovine serum (FBS), 0.1 mM dexamethasone, 10 mM nicotinamide, 1% ITS (insulin-transferrin-selenium) premix, penicillin/streptomycin/glutamine, 10 ng/ml fibroblast growth factor 4, hepatocyte growth factor, epidermal growth factor",fibroblast growth factor 4; hepatocyte growth factor; epidermal growth factor,mouse embryonic fibroblasts,"Inhibitor of GSK3β;Inhibitor of ALK4, ALK7 (activin receptor-like kinases)",Hnf1α,"Lim, K.T., Lee, S.C., Gao, Y., Kim, K.P., Song, G., An, S.Y. et al. (2016) Small molecules facilitate single factor-mediated hepatic reprogramming. Cell Rep. 15, 814–829, https://doi.org/10.1016/j.celrep.2016.03.071",_,14.5,_,2,_,Dong Wook Han; Lijian Hui; Jong-Hoon Kim; Amar Deep Sharma;Seung-Hoi Koo; Kinarm Ko; Jueng Soo You; Seon In Hwang; Tae Hwan Kwak; Kyoung-Jin Oh; Jonghun Kim; Yu Jin Jang; Kenjiro Adachi; Su Yeon An; Guangqi Song; Kee-Pyo Kim; Yimeng Gao; Seung Chan Lee;Kyung Tae Lim,_
10.1016/j.stemcr.2017.06.013,Mus musculus,Fibroblasts,Induced Hepatocytes,18,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Forskolin,47936;Parnate,5530;DZNep,73087;TTNPB,5289501","HRM (DMEM/F12, 10% FBS, 10% KSR [Gibco]). Insulin (1 μg/mL), 0.5× N2, 0.5× B27 (Gibco), 2 mM GlutaMAX, 0.1 mM NEAA, 100 units/mL penicillin, and 100 μg/mL streptomycin, containing the small-molecule cocktails CRFVPTD or CRVPTD (10 μM CHIR99021 [C], 10 μM RepSox [R], 0.5 mM Valproic Acid [V], 5 μM Parnate [P], 1 μM TTNPB [T], 50 μM Forskolin [F], and 50 nM DZNep [D]",epidermal growth factor (EGF); hepatocyte growth factor (HGF),MEFs were isolated from E12.5,Inhibitor of histone deacetylase;Inhibitor of GSK3β;Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of lysine-specific demethylase 1 (LSD1);Inhibitot of histone EZH2 lysine methyltransferase;Agonist of a retinoic acid receptor,Foxa1;Foxa2;Foxa3,"Guo, R., Tang, W., Yuan, Q., Hui, L., Wang, X. and Xie, X. (2017) Chemical cocktails enable hepatic reprogramming of mouse fibroblasts with a single transcription factor. Stem Cell Rep. 9, 499–512, https://doi.org/10.1016/j.stemcr.2017.06.013 Lim, K.T., Lee, S.C., Gao, Y., Kim, K.P., Song, G., An, S.Y. et al. (2016) Small molecules facilitate single factor-mediated hepatic reprogramming. Cell Rep. 15, 814–829, https://doi.org/10.1016/j.celrep.2016.03.071",_,_,positive for albumin,2,_,Xin Xie; Xin Wang; Lijian Hui; Qianting Yuan; Wei Tang;Ren Guo,_
10.1016/j.stem.2016.06.006,Homo sapiens,Gastric Epithelial Cells,Induced Endoderm Progenitor Cells,55,"BIX01294,25150857;RG108,702558;Bay k 8644,2303;SB431542,4521392","Advanced DMEM/F12 supplemented with combinations of small molecules as indicated: Bay K 8644, 2 μM; BIX01294, 0.5 μM; SB431542, 2 μM; RG108, 0.04 μM ",FGF9,"The hGECs were isolated from macroscopically normal mucosa of surgical specimens from patients (ranging from 35 to 78 years old) who had undergone gastrectomies due to stomach cancer, or they were from endoscopic biopsies from patients who underwent physical reexamination after recovery from a gastric ulcer or gastritis with Helicobacter pylori (H. pylori) undetectable in the recovered tissue",Inhibitor of the G9a histone methyltransferase;Inhibitor of the DNA methyltransferase;Inhibitor of the L-type calcium channel;Inhibitor of the Activin/BMP/TGF-β pathway,_,"Wang, Y., Qin, J., Wang, S., Zhang, W., Duan, J., Zhang, J. et al. (2016) Conversion of human gastric epithelial cells to multipotent endodermal progenitors using defined small molecules. Cell Stem Cell 19, 449–461, https://doi.org/10.1016/j.stem.2016.06.006",_,90,the differentiating cells started to express ALB by day 14 of hepatic induction ,1,_,XuetaoPei; JiangLiu; BoFeng; XiaofangLiu; MingyangChang; FangYan; XinWang; JingZhang; JialeiDuan; WenchengZhang; ShuyongWang; JinhuaQin;Yunfang Wang,_
10.1074/jbc.M117.812537,Mus musculus,Fibroblasts,Induced Endoderm Progenitor Cells,24,"RepSox,449054;Forskolin,47936;Y-27632,448042;CHIR99021,9956119;TTNPB,5289501","N2B27 medium supplemented with bFGF(10ng/ml), BMP4(10ng/ml), RepSox(5μM), CHIR(3μM), FSK(10μM), TTNPB (1μM), Y-27632(10μM); modified medium, for which, the concentration of CHIR was adjust to 10μM, TTNPB was deleted from and ActivinA(100ng/ml) was added to the cocktails.",HGF; bFGF; FGF10; EGF; FGF2;BMP4;Activin A,MEFs were derived from 13.5 d.p.c mouse embryos from cross of male Oct4–GFP transgenic allele carrying mice (CBA/CaJ X C57BL/6J) to 129Sv/Jae female mice,Inhibitor of the ALK5 (TGF-β type 1 receptor);CAMP agonist;Inhibitor of ROCK1 and ROCK2;Inhibitor of GSK3β;Agonist of a retinoic acid receptor,_,"Cao, S., Yu, S., Chen, Y., Wang, X., Zhou, C., Liu, Y. et al. (2017) Chemical reprogramming of mouse embryonic and adult fibroblast into endoderm lineage. J. Biol. Chem. 292, 19122–19132, https://doi.org/10.1074/jbc.M117.812537",_,66.7,ALB positive,1,_,Duanqing Pei; Jing Liu; Jiekai Chen; Xiaodong Shu; Yinxiong Li; Lin Guo; Linlin Wu; Shilong Chu; Yue Qin; Jing Ye; Dongwei Li; He Liu; Junqi Kuang; Yuting Liu; Chunhua Zhou; Xiaoshan Wang; Yan Chen; Shengyong Yu;Shangtao Cao,_
10.1016/j.stem.2016.10.007,Rattus _;Mus musculus,Primary Hepatocytes,Induced Liver Progenitors (CliPs),14,"Y-27632,448042;A83-01,16218924;CHIR99021,9956119","MHs was SHM, namely, DMEM/F12 containing 2.4 g/L NaHCO3 and L-glutamine, which was supplemented with 5 mM HEPES, 30 mg/L L-proline, 0.05% BSA, 10 ng/ml epidermal growth factor, insulin-transferrin-serine (ITS)-X, 107 M dexamethasone (Dex), 10 mM nicotinamide, 1 mM 2-phospho-L-ascorbic acid-2 phosphate, an antibiotic/antimycotic solution with or without combinations of the following four small-molecule inhibitors, 10 mM Y-27632, 1 mM PD0325901, 0.5 mM A-83-01, 3 mM CHIR99021",EGF; TGF-β,Adult rat hepatocytes were isolated from 10–20-week-old female Wistar rats,"Inhibitor of ROCK1 and ROCK2;Inhibitor of ALK4, ALK7 (activin receptor-like kinases);Inhibitor of GSK3β",_,"Katsuda, T., Kawamata, M., Hagiwara, K., Takahashi, R., Yamamoto, Y., Camargo, F.D. et al. (2017) Conversion of terminally committed hepatocytes to culturable bipotent progenitor cells with regenerative capacity. Cell Stem Cell 20, 41–55, https://doi.org/10.1016/j.stem.2016.10.007",_,75,CLiPs repopulate chronically injured liver tissues,1,_,Takahiro Ochiya; Fernando D.Camargo; Yusuke Yamamoto; Ryou-u Takahashi; Keitaro Hagiwara; Masaki Kawamata;Takeshi Katsuda,_
